一个叫欧维的男人决定去死,"
        
  
  [瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元

      ",9.0
吃鲷鱼让我打嗝,"
        
  
  [美] 杰西·艾森伯格 / 吴文忠 / 人民文学出版社 / 2017-4 / 49.00元

      ",7.9
我脑袋里的怪东西,"
        
  
  [土耳其] 奥尔罕·帕慕克 / 陈竹冰 / 上海人民出版社 / 2016-2 / 49.00元

      ",8.6
无声告白,"
        
  
  [美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元

      ",8.2
黄金时代:时代三部曲,"
        
  
  王小波 / 花城出版社 / 1999-3 / 19.00元

      ",8.8
悉达多,"
        
  
  [德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00

      ",9.0
肖申克的救赎,"
        
  
  [美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元

      ",9.1
台北人,"
        
  
  白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元

      ",8.9
树上的男爵,"
        
  
  (意)卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元

      ",9.1
飘,"
        
  
  [美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元

      ",9.3
岛上书店,"
        
  
  [美] 加布瑞埃拉·泽文 / 孙仲旭、李玉瑶 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00

      ",7.6
牧羊少年奇幻之旅,"
        
  
  [巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元

      ",8.6
美丽新世界,"
        
  
  [英] 阿道司·赫胥黎 / 王波 / 重庆出版社 / 2005-6 / 20.00元

      ",8.6
悟空传:修订版,"
        
  
  今何在 / 光明日报出版社 / 2001-4 / 14.80元

      ",8.4
灿烂千阳,"
        
  
  [美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元

      ",8.8
倾城之恋,"
        
  
  花城出版社 / 1997-3-1 / 11.00

      ",8.5
